strain,id,race,flavors,effects,0
Afpak,1,hybrid,"['Earthy', 'Chemical', 'Pine']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Sleepy'], 'negative': ['Dizzy'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you’re suffering from stress, mild physical discomfort, or having difficulty eating.  "
African,2,sativa,"['Spicy/Herbal', 'Pungent', 'Earthy']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']}","African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect."
Afternoon Delight,3,hybrid,"['Pepper', 'Flowery', 'Pine']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Uplifted', 'Tingly'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps', 'Headache']}","Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency. "
Afwreck,4,hybrid,"['Pine', 'Earthy', 'Flowery']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches', 'Muscle Spasms']}",Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.
Agent Orange,5,hybrid,"['Citrus', 'Orange', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Headaches']}","Don’t let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed."
Agent Tangie,6,hybrid,"['Skunk', 'Pepper', 'Citrus']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Cramps', 'Fatigue', 'Eye Pressure']}","For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue. "
Alaska,8,sativa,"['Earthy', 'Woody', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Focused'], 'negative': ['Dizzy', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']}","Al’s Dream is rapidly becoming a Colorado cannabis staple. This cross of Albert Walker and Blue Dream yields a unique connoisseur-grade flower with notes of celery seed and pungent earth that opens up with notes of citrus after combustion. Offering consumers a heady euphoria that lends itself to creative tasks, it also has medicinal benefits that curb the effects of depression, nausea, and stress. Al’s Dream is also known to have mild psychedelic effects when its THC content passes 20%.  "
Alaska Thunder Grape,9,hybrid,"['Grape', 'Pepper', 'Skunk']","{'positive': ['Relaxed', 'Euphoric', 'Creative', 'Tingly', 'Focused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Eye Pressure']}","Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders. "
Alaskan Ice,10,sativa,"['Earthy', 'Pine', 'Minty']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}","From Sonoma County comes Alaska Thunder Grape, a hybrid strain that balances genetics from Matanuska Thunder Fuck and Grape Ape. With floral flavors of lavender and hibiscus, Alaska Thunder Grape delivers heavy euphoric effects that promote rest and relaxation."
Alaskan Thunder Fuck,11,sativa,"['Earthy', 'Woody', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms."
Albert Walker,12,hybrid,"['Earthy', 'Pine', 'Skunk']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']}","Alaskan Thunder Fuck (also referred to as ATF, Matanuska Thunder Fuck or Matanuska Tundra) is a legendary sativa-dominant strain originating in the Matanuska Valley area of Alaska.  According to the legend, it was originally a Northern California sativa crossed with a Russian ruderalis, but sometime in the late 70s it was crossed with Afghani genetics to make it heartier.  ATF usually presents large, beautifully frosted buds with incredibly strong odors of pine, lemon, menthol, and skunk.  Known for possessing a relaxing yet intensely euphoric high, it is also described as having a “creeper” effect as well as pronounced appetite enhancement."
Alchemy,13,hybrid,"['Cheese', 'Chemical', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Uplifted', 'Tingly', 'Sleepy'], 'negative': [], 'medical': ['Insomnia', 'Stress', 'Fatigue', 'Headaches', 'Eye Pressure']}","Albert Walker is an indica-dominant hybrid with unknown origins, but is thought to have descended from Afghan Skunk and bred in the Pacific Northwest. Evidence of its lineage is found in its sour lemon and skunky smell and heavy full-body effects that can last for several hours. Albert Walker’s euphoric and relaxing qualities make it a go-to strain for patients treating depression and anxiety, and may also have benefits for chronic pain and appetite loss. This clone-only strain may come as a challenge for some growers as the plants tend to require frequent attention and maintenance. However, the high yields following its 8-week flowering cycle could be considered a satisfactory reward."
Alf,14,hybrid,"['Diesel', 'Pungent', 'Tropical']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Muscle Spasms']}","Alchemy is a 50/50 hybrid cannabis strain that was conjured by combining Chemdawg and Querkle. This creation from TGA Genetics comes wreathed in purple fan leaves and lavender-tipped buds. With an aroma of sour grapes and earthy musk, Alchemy delivers a balance of relaxing body effects and engaged cerebral invigoration. Boasting high levels of THC, Alchemy is sure to restore both your mood and appetite."
Alice in Wonderland,15,sativa,"['Citrus', 'Grapefruit', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Muscle Spasms']}","The indica-dominant hybrid Alf was created by crossing Animal Pie (an Animal Cookies and Cherry Pie hybrid) and Black Raven (White Fire Alien OG x ’09 Cookies) from The Captain’s Connection. With dessert-like notes of cookies and sour cherry, Alf’s aroma is as enticing as its purple crystal-coated buds. Patients seeking relief from pain, spasms, nausea, and appetite may want to give this relaxing hybrid a try."
Alien Abduction,16,hybrid,"['Earthy', 'Nutty', 'Lemon']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']}","Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects. It provides an elevated sensory experience, making it a favorite strain for creative pastimes, outdoor activities, a laid-back weekend, or daytime stress relief. Said to be a descendant of Willy’s Wonder, Alice in Wonderland has many therapeutic qualities, especially for those suffering from anxiety or depression."
